344
7 1
1 0 
1 1 6
4 1 6
1 1 6
1 1 0
1 1 0
1 1 0
26 1
1 0 
4 1 22
1 1 22
4 1 22
1 1 22
3 1 22
1 1 22
4 1 23
1 1 23
4 1 23
1 1 23
4 1 23
1 1 23
4 1 24
1 1 24
1 1 24
4 1 24
1 1 24
4 1 25
1 1 25
4 1 23
1 1 23
1 1 0
4 1 0
1 1 0
4 1 0
28 1
1 0 
2 1 23
3 1 23
1 1 23
4 1 26
3 1 26
4 1 27
3 1 24
2 1 24
1 1 24
4 1 26
3 1 25
2 1 25
1 1 25
1 1 23
1 1 26
1 1 26
1 1 27
1 1 27
1 1 24
1 1 26
1 1 26
1 1 25
1 1 0
1 1 0
1 1 0
1 1 0
1 1 0
40 1
1 0 
3 1 36
1 1 36
3 1 36
4 1 39
4 1 39
4 1 39
3 1 36
3 1 36
3 1 37
3 1 37
4 1 37
3 1 37
3 1 38
4 1 38
3 1 37
3 1 36
1 1 36
1 1 39
1 1 39
1 1 39
1 1 39
1 1 39
1 1 39
1 1 39
1 1 36
1 1 37
1 1 37
1 1 37
1 1 37
1 1 38
1 1 38
1 1 38
1 1 38
1 1 37
1 1 36
3 1 0
1 1 0
1 1 0
1 1 0
35 1
1 0 
4 1 34
1 1 34
1 1 34
3 1 30
3 1 30
3 1 30
3 1 30
3 1 31
3 1 30
3 1 30
3 1 32
3 1 32
3 1 32
3 1 32
3 1 33
3 1 32
3 1 32
1 1 30
1 1 30
1 1 31
1 1 31
1 1 30
1 1 30
1 1 32
1 1 32
1 1 33
1 1 33
1 1 32
1 1 32
3 1 0
1 1 0
3 1 0
1 1 0
1 1 0
15 1
1 0 
4 1 12
1 1 12
4 1 13
1 1 13
4 1 14
1 1 14
1 1 12
1 1 13
1 1 13
1 1 14
1 1 14
1 1 0
1 1 0
1 1 0
33 1
3 0 
1 1 30
3 1 30
1 1 30
3 1 30
3 1 31
4 1 31
3 1 31
3 1 30
3 1 30
3 1 30
1 1 30
3 1 32
3 1 32
3 1 32
3 1 32
3 1 32
3 1 32
3 1 32
1 1 32
3 1 30
1 1 31
1 1 31
1 1 31
1 1 31
1 1 30
1 1 32
1 1 32
1 1 32
1 1 32
3 1 0
1 1 0
3 1 0
68 1
1 0 
4 1 63
2 1 63
3 1 63
1 1 63
4 1 63
2 1 63
4 1 66
4 1 66
2 1 66
4 1 66
4 1 64
4 1 64
4 1 64
2 1 64
3 1 63
3 1 63
4 1 67
3 1 67
4 1 67
4 1 67
4 1 67
2 1 65
3 1 65
1 1 65
3 1 65
4 1 65
3 1 65
4 1 65
4 1 67
1 1 63
1 1 63
1 1 63
1 1 66
1 1 66
1 1 66
1 1 66
1 1 66
1 1 66
1 1 66
1 1 64
1 1 64
1 1 64
1 1 64
1 1 64
1 1 64
1 1 64
1 1 63
1 1 67
1 1 67
1 1 67
1 1 67
1 1 67
1 1 67
1 1 67
1 1 65
1 1 65
1 1 65
1 1 65
1 1 65
1 1 65
1 1 65
1 1 67
1 1 0
1 1 0
1 1 0
1 1 0
1 1 0
18 1
3 0 
3 1 16
1 1 16
3 1 17
1 1 17
3 1 17
1 1 17
3 1 15
2 1 15
1 1 15
3 1 15
1 1 15
3 1 16
2 1 16
1 1 16
3 1 0
3 1 0
3 1 0
32 1
3 0 
2 1 28
3 1 28
3 1 28
3 1 29
3 1 29
3 1 29
3 1 29
3 1 28
3 1 28
3 1 28
3 1 30
3 1 30
3 1 30
3 1 30
3 1 31
1 1 28
1 1 29
1 1 29
1 1 29
1 1 29
1 1 28
1 1 28
1 1 30
1 1 30
1 1 30
1 1 30
1 1 31
3 1 0
3 1 0
3 1 0
3 1 0
50 1
1 0 
3 1 44
4 1 47
3 1 44
3 1 44
3 1 44
3 1 44
3 1 44
3 1 44
3 1 45
1 1 45
3 1 45
3 1 45
3 1 45
3 1 45
3 1 45
4 1 45
4 1 48
4 1 49
2 1 45
3 1 45
3 1 46
3 1 46
2 1 46
4 1 46
1 1 47
1 1 47
1 1 47
1 1 44
1 1 44
1 1 44
1 1 44
1 1 45
1 1 45
1 1 48
1 1 48
1 1 48
1 1 49
1 1 49
1 1 49
1 1 46
1 1 46
1 1 46
1 1 46
3 1 0
3 1 0
1 1 0
1 1 0
1 1 0
1 1 0
16 1
1 0 
1 1 13
3 1 13
1 1 13
3 1 13
3 1 14
2 1 14
3 1 14
3 1 15
2 1 13
1 1 14
1 1 15
1 1 15
1 1 0
3 1 0
1 1 0
24 1
3 0 
1 1 20
3 1 20
1 1 20
3 1 20
3 1 21
3 1 21
3 1 22
3 1 20
3 1 20
4 1 23
3 1 21
1 1 21
1 1 21
1 1 21
1 1 22
1 1 20
1 1 23
1 1 23
1 1 23
3 1 0
3 1 0
3 1 0
1 1 0
11 1
1 0 
1 1 9
4 1 9
4 1 10
1 1 10
1 1 9
1 1 9
1 1 10
1 1 10
1 1 0
1 1 0
27 1
1 0 
4 1 24
1 1 24
3 1 24
4 1 24
4 1 24
3 1 24
4 1 25
4 1 25
3 1 24
4 1 26
4 1 26
1 1 24
1 1 24
1 1 24
1 1 24
1 1 25
1 1 25
1 1 25
1 1 25
1 1 26
1 1 26
1 1 26
1 1 26
1 1 0
1 1 0
1 1 0
21 1
3 0 
3 1 17
3 1 17
3 1 18
3 1 18
1 1 18
3 1 18
3 1 19
3 1 17
3 1 20
1 1 17
1 1 17
1 1 18
1 1 18
1 1 19
1 1 20
1 1 20
3 1 0
3 1 0
3 1 0
1 1 0
48 1
3 0 
4 1 46
3 1 44
3 1 44
3 1 44
3 1 44
3 1 44
3 1 44
3 1 46
4 1 46
4 1 46
1 1 46
4 1 47
4 1 47
4 1 47
2 1 45
3 1 45
3 1 45
3 1 45
3 1 45
3 1 45
3 1 45
1 1 46
1 1 46
1 1 44
1 1 44
1 1 44
1 1 44
1 1 44
1 1 46
1 1 46
1 1 46
1 1 46
1 1 47
1 1 47
1 1 47
1 1 47
1 1 47
1 1 47
1 1 45
1 1 45
1 1 45
1 1 45
1 1 45
3 1 0
3 1 0
1 1 0
1 1 0
40 1
1 0 
4 1 36
1 1 36
2 1 36
4 1 37
4 1 37
1 1 37
4 1 37
1 1 37
2 1 36
4 1 38
4 1 38
1 1 38
4 1 38
1 1 38
2 1 36
4 1 36
4 1 39
1 1 39
4 1 39
1 1 39
1 1 37
1 1 37
1 1 37
1 1 37
1 1 37
1 1 38
1 1 38
1 1 38
1 1 38
1 1 38
1 1 36
1 1 36
1 1 39
1 1 39
1 1 39
2 1 0
1 1 0
1 1 0
1 1 0
18 1
1 0 
4 1 15
4 1 16
2 1 16
4 1 17
4 1 17
2 1 15
1 1 15
1 1 15
1 1 16
1 1 16
1 1 17
1 1 17
1 1 17
1 1 17
1 1 0
1 1 0
1 1 0
22 1
1 0 
4 1 18
1 1 18
2 1 18
4 1 19
2 1 18
4 1 20
2 1 18
4 1 21
1 1 19
1 1 19
1 1 19
1 1 20
1 1 20
1 1 20
1 1 21
1 1 21
1 1 21
2 1 0
1 1 0
1 1 0
1 1 0
25 1
3 0 
3 1 21
3 1 21
3 1 22
2 1 22
4 1 24
3 1 22
3 1 22
3 1 21
3 1 21
3 1 23
1 1 21
1 1 21
1 1 24
1 1 24
1 1 24
1 1 22
1 1 22
1 1 21
1 1 23
1 1 23
3 1 0
3 1 0
1 1 0
1 1 0
21 1
3 0 
3 1 17
3 1 18
3 1 18
1 1 18
3 1 18
3 1 19
3 1 20
3 1 17
3 1 17
1 1 17
1 1 18
1 1 19
1 1 19
1 1 20
1 1 17
1 1 17
3 1 0
3 1 0
1 1 0
3 1 0
11 1
1 0 
4 1 9
1 1 9
4 1 10
1 1 10
1 1 9
1 1 9
1 1 10
1 1 10
1 1 0
1 1 0
23 1
3 0 
3 1 19
3 1 19
3 1 19
3 1 20
3 1 20
3 1 20
3 1 21
2 1 20
4 1 22
1 1 19
1 1 19
1 1 19
1 1 20
1 1 21
1 1 21
1 1 22
1 1 22
1 1 22
3 1 0
3 1 0
1 1 0
1 1 0
31 1
3 0 
3 1 27
3 1 27
3 1 27
3 1 28
3 1 28
3 1 28
3 1 28
3 1 29
3 1 27
3 1 27
3 1 30
3 1 30
3 1 30
3 1 30
1 1 27
1 1 27
1 1 28
1 1 28
1 1 28
1 1 28
1 1 29
1 1 27
1 1 30
1 1 30
1 1 30
1 1 30
3 1 0
3 1 0
3 1 0
3 1 0
35 1
3 0 
4 1 34
4 1 34
3 1 31
3 1 31
3 1 31
3 1 32
3 1 32
3 1 31
3 1 31
3 1 31
3 1 33
3 1 33
3 1 33
3 1 33
3 1 33
3 1 31
1 1 34
1 1 34
1 1 34
1 1 34
1 1 34
1 1 31
1 1 32
1 1 32
1 1 31
1 1 33
1 1 33
1 1 33
1 1 33
1 1 33
3 1 0
3 1 0
3 1 0
1 1 0
22 1
3 0 
3 1 18
3 1 19
3 1 19
3 1 20
3 1 19
3 1 21
3 1 18
2 1 18
3 1 21
1 1 21
1 1 21
1 1 18
1 1 19
1 1 20
1 1 20
1 1 19
1 1 18
3 1 0
3 1 0
1 1 0
1 1 0
18 1
3 0 
1 1 17
4 1 17
3 1 15
3 1 15
3 1 16
3 1 16
2 1 15
3 1 15
1 1 17
1 1 17
1 1 15
1 1 16
1 1 16
1 1 15
3 1 0
3 1 0
1 1 0
32 1
3 0 
2 1 28
2 1 28
3 1 28
3 1 29
3 1 29
3 1 29
3 1 29
3 1 28
3 1 28
3 1 28
3 1 30
3 1 30
3 1 30
2 1 30
3 1 30
3 1 31
1 1 29
1 1 29
1 1 29
1 1 29
1 1 28
1 1 28
1 1 30
1 1 30
1 1 30
1 1 31
1 1 31
3 1 0
3 1 0
3 1 0
1 1 0
20 1
3 0 
3 1 18
3 1 18
3 1 18
3 1 19
3 1 19
3 1 19
3 1 17
2 1 17
2 1 17
1 1 17
1 1 18
1 1 18
1 1 18
1 1 19
1 1 19
1 1 17
2 1 0
3 1 0
3 1 0
26 1
3 0 
2 1 22
4 1 24
3 1 22
3 1 22
3 1 23
3 1 23
3 1 23
3 1 23
4 1 25
3 1 22
1 1 24
1 1 24
1 1 24
1 1 22
1 1 23
1 1 23
1 1 23
1 1 25
1 1 25
1 1 25
1 1 22
3 1 0
3 1 0
1 1 0
1 1 0
34 1
3 0 
1 1 30
3 1 30
3 1 30
3 1 30
3 1 30
3 1 31
3 1 31
3 1 31
3 1 31
1 1 31
3 1 30
3 1 32
3 1 32
3 1 32
4 1 32
3 1 30
3 1 33
3 1 30
1 1 30
1 1 30
1 1 31
1 1 31
1 1 32
1 1 32
1 1 32
1 1 32
1 1 32
1 1 33
1 1 33
3 1 0
3 1 0
1 1 0
1 1 0
31 1
1 0 
3 1 27
4 1 29
4 1 29
4 1 30
4 1 30
3 1 27
1 1 27
2 1 27
4 1 27
3 1 28
3 1 28
1 1 28
1 1 29
1 1 29
1 1 29
1 1 29
1 1 29
1 1 30
1 1 30
1 1 30
1 1 30
1 1 30
1 1 27
1 1 27
1 1 28
1 1 28
1 1 0
1 1 0
1 1 0
1 1 0
29 1
3 0 
1 1 25
3 1 25
1 1 25
3 1 25
3 1 25
3 1 26
3 1 26
4 1 28
4 1 28
3 1 26
3 1 26
3 1 27
3 1 27
3 1 25
3 1 26
1 1 25
1 1 26
1 1 28
1 1 28
1 1 28
1 1 28
1 1 26
1 1 27
1 1 27
3 1 0
3 1 0
3 1 0
1 1 0
25 1
1 0 
3 1 21
3 1 21
3 1 22
3 1 23
2 1 23
4 1 23
3 1 23
3 1 21
3 1 21
3 1 24
1 1 24
1 1 24
1 1 21
